RoadName,Start,End
仁愛路四段,"(25.038020501504306, 121.54378218083636)","(25.037976068144363, 121.54605129119803)"
仁愛路四段,"(25.037613063147, 121.55145041663641)","(25.037518173108708, 121.557524569389)"
仁愛路四段,"(25.03754484782041, 121.55763369541569)","(25.037566406438224, 121.56149853129634)"
仁愛路四段,"(25.037976068144363, 121.54605129119803)","(25.038020501504306, 121.54378218083636)"
仁愛路四段,"(25.03768071262635, 121.55751539453362)","(25.037866102224903, 121.5513821806861)"
仁愛路四段,"(25.037566406438224, 121.56149853129634)","(25.037680266433064, 121.55763430768047)"
信義路四段,"(25.03337137085073, 121.54369232033255)","(25.033326903877946, 121.54597125435869)"
信義路四段,"(25.032967957488452, 121.55754364012597)","(25.03297882639103, 121.55945616836735)"
信義路五段,"(25.032978229479323, 121.55961471313316)","(25.032926550179795, 121.56134859077349)"
信義路五段,"(25.032838963747185, 121.56540105569711)","(25.03276495986276, 121.56823474540712)"
信義路五段,"(25.033043875547534, 121.56135903387545)","(25.033095107191592, 121.55974406327785)"
信義路五段,"(25.03289135041846, 121.56823532759086)","(25.032983410165937, 121.5654017177346)"
光復南路,"(25.04522699791211, 121.5578269988234)","(25.048160915301967, 121.55787991587296)"
光復南路,"(25.037680266433064, 121.55763430768047)","(25.04125509374115, 121.55770993137361)"
光復南路,"(25.032967957488452, 121.55754364012597)","(25.03754484782041, 121.55763369541569)"
光復南路,"(25.029880224644742, 121.5575792308646)","(25.032967957488452, 121.55754364012597)"
光復南路,"(25.048152371180798, 121.55775104150696)","(25.04520950019193, 121.5576782666275)"
光復南路,"(25.044947691139114, 121.55767708242091)","(25.041399949313966, 121.55760157765194)"
光復南路,"(25.037518173108708, 121.557524569389)","(25.03309490581486, 121.5573955754515)"
光復南路,"(25.032977542940174, 121.5573950451595)","(25.029880224644742, 121.5575792308646)"
和平東路三段,"(25.02462109698762, 121.54671550908023)","(25.02450553350123, 121.54867688988992)"
和平東路三段,"(25.024038976606935, 121.55276702967177)","(25.02049482317607, 121.55656582141728)"
和平東路三段,"(25.018925895068666, 121.5584511926133)","(25.020675344680363, 121.5565765436414)"
基隆路一段,"(25.049560732288953, 121.56965006803829)","(25.051001844831337, 121.57052886555977)"
基隆路一段,"(25.045750662588723, 121.56735310891403)","(25.04907432889855, 121.56936041579586)"
基隆路一段,"(25.033815771817324, 121.56016352324346)","(25.04335472560146, 121.56590512777348)"
基隆路一段,"(25.051147584620693, 121.57019257751489)","(25.04939986413341, 121.56922317201585)"
基隆路一段,"(25.045084944374864, 121.56673561420594)","(25.043508803550264, 121.56574727402173)"
基隆路一段,"(25.043418751074906, 121.56568740053983)","(25.033888629939707, 121.55999539616961)"
基隆路一段,"(25.04064433941018, 121.5640494614064)","(25.039183775603917, 121.56352747618341)"
基隆路一段,"(25.03918321180221, 121.56367611927472)","(25.041102541285436, 121.56463623922586)"
基隆路一段,"(25.033815771817324, 121.56016352324346)","(25.03433804541451, 121.56052263063573)"
基隆路一段,"(25.043418751074906, 121.56568740053983)","(25.041220882787588, 121.56437912436512)"
基隆路二段,"(25.022332675554527, 121.55033183660677)","(25.02405883700729, 121.55228160172162)"
基隆路二段,"(25.024580247146986, 121.55287844812598)","(25.02981658311208, 121.55769785083568)"
基隆路二段,"(25.024122290194644, 121.55221252608622)","(25.022405265808352, 121.55023307650501)"
基隆路二段,"(25.029880224644742, 121.5575792308646)","(25.02466179331509, 121.55279954500689)"
基隆路二段,"(25.03297882639103, 121.55945616836735)","(25.029880224644742, 121.5575792308646)"
市民大道五段,"(25.04501036556718, 121.55781610850954)","(25.04718470453154, 121.5629793324745)"
市民大道五段,"(25.047329225843903, 121.56296017171631)","(25.04522699791211, 121.5578269988234)"
市民大道六段,"(25.04919870357083, 121.57223503766483)","(25.048906693425675, 121.57770426718048)"
市民大道六段,"(25.049520510951595, 121.57772696489234)","(25.049460511814917, 121.5722362530185)"
市民大道七段,"(25.049622876787186, 121.5838719739874)","(25.05143674070093, 121.59543640361838)"
市民大道七段,"(25.0514909474114, 121.59542675481816)","(25.04966817185458, 121.58383254640772)"
忠孝東路四段,"(25.04155915829256, 121.54387706378675)","(25.041514795254834, 121.54612641966033)"
忠孝東路四段,"(25.041514795254834, 121.54612641966033)","(25.041450622626048, 121.54884145103286)"
忠孝東路四段,"(25.041450402980992, 121.54890090951145)","(25.0412555028652, 121.5576009244975)"
忠孝東路四段,"(25.04116827612674, 121.56158429986876)","(25.041103783654627, 121.56430921938383)"
忠孝東路四段,"(25.04164104043389, 121.54616661848148)","(25.04168554922254, 121.5438776212385)"
忠孝東路四段,"(25.041586041369104, 121.54884205375134)","(25.04164104043389, 121.54616661848148)"
忠孝東路四段,"(25.041399949313966, 121.55760157765194)","(25.0415858217227, 121.54890151229525)"
忠孝東路四段,"(25.041303694581753, 121.56158491657263)","(25.041399502989933, 121.55772049438316)"
忠孝東路四段,"(25.041220882787588, 121.56437912436512)","(25.041303694581753, 121.56158491657263)"
忠孝東路五段,"(25.041102541285436, 121.56463623922586)","(25.04100685655932, 121.56842136552795)"
忠孝東路五段,"(25.040997373696175, 121.56854024003607)","(25.040903077785913, 121.57193888111614)"
忠孝東路五段,"(25.040903077785913, 121.57193888111614)","(25.04074507754851, 121.57777503476865)"
忠孝東路五段,"(25.04109713542485, 121.56842178166559)","(25.04121068769217, 121.5646862837708)"
忠孝東路五段,"(25.04084438414112, 121.57777550004691)","(25.04101141235943, 121.57193938356923)"
松仁路,"(25.035851779894717, 121.56843724446173)","(25.03905649160117, 121.56850156313448)"
松仁路,"(25.034804620054604, 121.5684126000502)","(25.035779556751606, 121.5684369116218)"
松仁路,"(25.032863774143152, 121.56836402014468)","(25.034804620054604, 121.5684126000502)"
松仁路,"(25.039056984418973, 121.5683727393623)","(25.035861338386663, 121.56829855636647)"
松仁路,"(25.031898016495727, 121.56830011601934)","(25.0304263932216, 121.5683131551707)"
松壽路,"(25.035861170742038, 121.56360148026039)","(25.035827198460073, 121.56541475264153)"
松壽路,"(25.035826821397325, 121.56551384530718)","(25.035771059455598, 121.5682981404181)"
松壽路,"(25.03590841183467, 121.56542503436981)","(25.03593339394485, 121.56360181027031)"
松智路,"(25.035899044576606, 121.56551417643632)","(25.039076637463516, 121.56558820455179)"
松智路,"(25.039077014621476, 121.56548910927646)","(25.03590841183467, 121.56542503436981)"
松高路,"(25.039110988631908, 121.5636757891725)","(25.039077014621476, 121.56548910927646)"
松高路,"(25.039158265662927, 121.56548948183558)","(25.03918321180221, 121.56367611927472)"
松高路,"(25.039056984418973, 121.5683727393623)","(25.039157888503585, 121.5655885771762)"
永吉路,"(25.045533807013488, 121.57210901411804)","(25.045376644272135, 121.57772736620086)"
永吉路,"(25.045484978670128, 121.57772787384228)","(25.045651169391437, 121.57210955871892)"
逸仙路,"(25.039218399900783, 121.56153578164587)","(25.04116827612674, 121.56158429986876)"
逸仙路,"(25.04116827612674, 121.56158429986876)","(25.039218399900783, 121.56153578164587)"
