Name, Start, End
大道路,"25.043022, 121.581147","25.038091, 121.583747"
中坡北路,"25.050306, 121.579563","25.044749, 121.581132"
中坡南路,"25.044157, 121.582002","25.041582, 121.585467"
市府路,"25.033037, 121.563536","25.039143, 121.563540"
東興路,"25.051258, 121.565448","25.045814, 121.566918"
松山路,"25.036471, 121.581492","25.031315, 121.579348"
松平路,"25.030225, 121.563223","25.030376, 121.569651"
松信路,"25.049186, 121.572223","25.041097, 121.571932"
松勇路,"25.040456, 121.569855","25.036611, 121.569764"
松隆路,"25.043338, 121.565957","25.048376, 121.579999"
松廉路,"25.034004, 121.565476","25.033970, 121.568326"
松德路,"25.033723, 121.574606","25.039553, 121.577801"
莊敬路,"25.032875, 121.561339","25.026674, 121.568354"
菸廠路,"25.044946, 121.557976","25.044874, 121.562230"
信義快速道路,"25.032354, 121.571620","25.021548, 121.577322"
文山隧道,"25.021441, 121.577402","25.016761, 121.580049"
